#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	CODIGO-CV	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260/280 score	NUMBER	Gut DNA Concentration (ng/µL)	Date of Salivary DNA extractions	16S Sequencing	PCR_RESULTS_(121/122)	PCR_RESULTS_(duplex_Trangeli)	SingleInf_Tcruzi	SingleInf_Trangeli	Coinfection	PCR_RESULTS_(duplex_Tcruzi)	PCR_To_Redo
H5.P1	H5	Plate-1	93	HN5	R. pallescens	N1		La Chorrera	Peridomestic	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.578	93	6.51		Yes	Negative	Negative	Negative	Negative	No	Negative	
H6.P1	H6	Plate-1	94	HN5	R. pallescens	N1		La Chorrera	Peridomestic	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.598	94	6.819		Yes	Negative	Negative	Negative	Negative	No	Negative	
H7.P1	H7	Plate-1	95	HN5	R. pallescens	N1		La Chorrera	Peridomestic	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.511	95	3.518		Yes	Negative	Negative	Negative	Negative	No	Negative	
H8.P1	H8	Plate-1	96	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/26/2017				Guts only	11/21/2017	3/31/2018	0.789	96	2.206		Yes	Negative	Negative	Negative	Negative	No	Negative	
H9.P1	H9	Plate-1	98	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017		Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/23/2018		98			Yes	Negative	Negative	Negative	Negative	No	Negative	
H10.P1	H10	Plate-1	99	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/23/2018		99			Yes	Negative	Negative	Negative	Negative	No	Negative	
H11.P1	H11	Plate-1	100	HN5	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017		Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/23/2018		100			Yes	Negative	Negative	Negative	Negative	No	Negative	
H12.P1	H12	Plate-1	101	HN5	R. pallescens	N3		La Chorrera	Peridomestic	6/27/2017		Kaylee; guts, salivary tissue, flamed tools before guts, salivary glands not for microbiome		Guts and Salivary glands	5/9/2018	5/23/2018		101			Yes	Negative	Negative	Negative	Negative	No	Negative	
A2.P2	A2	Plate-2	102	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	6/25/2017		Nina; bead sterilizer before guts and salivary glands; white intestines (during extraction, sample <200µL, added 50µL of buffer)		Guts and Salivary	2/8/2018	3/31/2018	1.753	102	35.495		Yes	Positive	Negative	Single	Negative	No	Negative	
A3.P2	A3	Plate-2	103	HN3	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/8/2018	5/24/2018		103			Yes	Negative	Negative	Negative	Negative	No	Negative	
A4.P2	A4	Plate-2	104	HN3	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/24/2018		104			Yes		Negative	Negative	Negative		Negative	
A5.P2	A5	Plate-2	105	HN3	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts, salivary tissue (little tissue in guts and salivary glands), tools flamed before guts, salivary not for microbiome		Guts and Salivary glands	5/10/2018	5/24/2018		105			Yes	Positive	Negative	Single	Negative	No	Negative	
A6.P2	A6	Plate-2	106	HN3	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017		Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/8/2018	5/24/2018		106			Yes	Negative	Negative	Negative	Negative	No	Negative	
A7.P2	A7	Plate-2	107	HN3	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017		Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/10/2018	5/24/2018		107			Yes	Negative	Negative	Negative	Negative	No	Negative	
A8.P2	A8	Plate-2	108	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	2/8/2018	4/2/2018	1.924	108	110.291		Yes	Positive	Negative	Single	Negative	No	Positive	
A9.P2	A9	Plate-2	109	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	6/25/2017		Nina; bead sterilizer before guts and salivary glands; eggs	female	Guts and Salivary	2/8/2018	4/2/2018	2.057	109	62.698		Yes	Positive	Negative	Single	Negative	No	Positive	
A10.P2	A10	Plate-2	110	HN9	R. pallescens	Adult		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/20/2018	4/2/2018	1.988	110	23.401	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
A11.P2	A11	Plate-2	111	HN9	R. pallescens	N5		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/21/2018	4/2/2018	2.1	111	109.678	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
A12.P2	A12	Plate-2	112	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/8/2018	5/24/2018		112			Yes	Positive	Negative	Single	Negative	No	Positive	duplex_Trangeli - Negative? Redo
B1.P2	B1	Plate-2	113	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/14/2018	5/24/2018		113			Yes	Negative	Negative	Negative	Negative	No	Negative	
B2.P2	B2	Plate-2	114	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome		Guts and Salivary glands	5/8/2018	5/24/2018		114			Yes	Negative	Negative	Negative	Negative	No	Positive 	
B3.P2	B3	Plate-2	115	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; guts, salivary tissue, flamed tools before guts, salivary glands not for microbiome		Guts and Salivary glands	5/9/2018	5/24/2018		115			Yes	Negative	Negative	Negative	Negative	No	Negative	
B4.P2	B4	Plate-2	116	HN9	R. pallescens	N1		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/24/2018		116			Yes		Negative	Negative	Negative		Negative	
B5.P2	B5	Plate-2	117	HN9	R. pallescens	N5		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands; engorged; some blood and exoskeleton with salivary glands		Guts and Salivary glands	2/23/2018	4/3/2018	1.84	117	11.575		Yes	Positive	Negative	Single	Negative	No	Positive 	
B6.P2	B6	Plate-2	118	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; engorged; bead sterilizer before guts and salivary glands		Guts and salivary glands	3/1/2018	4/2/2018	1.531	118	10.948		Yes	Positive	Positive	Negative	Negative	Yes	Positive 	
B7.P2	B7	Plate-2	119	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; autoclaved tools before guts; salivary not for microbiome		Guts and Salivary glands	3/22/2018	5/1/2018		119			Yes	Positive	Negative	Single	Negative	No	Positive	
B8.P2	B8	Plate-2	120	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/25/2017	CV-SIA	Kaylee; flamed tools before guts; salivary not for microbiome		Guts and Salivary glands	3/22/2018	5/1/2018		120			Yes	Positive	Positive	Negative	Negative	Yes	Positive	
B9.P2	B9	Plate-2	121	HN9	R. pallescens	N5		La Chorrera	Peridomestic	6/26/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/23/2018	4/3/2018	1.866	121	17.172		Yes	Positive	Negative	Single	Negative	No	Positive	
B10.P2	B10	Plate-2	122	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/26/2017	CV-SIA	Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		122			Yes	Positive	Positive	Negative	Negative	Yes	Negative	
B11.P2	B11	Plate-2	123	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/26/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		123			Yes	Positive	Positive	Negative	Negative	Yes	Negative	
B12.P2	B12	Plate-2	124	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/26/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		124			Yes	Positive	Negative	Single	Negative	No	Positive	duplex_Trangeli - Negative? Redo
C1.P2	C1	Plate-2	125	HN9	R. pallescens	N1		La Chorrera	Peridomestic	6/26/2017	CV-SIA	Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		125			Yes	Negative	Positive	Negative	Single	No	Positive	
C2.P2	C2	Plate-2	126	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		126			Yes	Positive	Positive	Negative	Negative	Yes	Positive	
C3.P2	C3	Plate-2	127	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/23/2018		127			Yes	Negative	Positive	Negative	Single	No	Negative	
C4.P2	C4	Plate-2	128	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/9/2018	5/23/2018		128			Yes	Positive	Positive	Negative	Negative	Yes	Positive	
C5.P2	C5	Plate-2	129	HN9	R. pallescens	N2		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/24/2018		129			Yes	Positive	Negative	Single	Negative	No	Negative	
C6.P2	C6	Plate-2	130	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary	5/9/2018	5/24/2018		130			Yes	Positive	Negative	Single	Negative	No	Positive	
C7.P2	C7	Plate-2	131	HN9	R. pallescens	N3		La Chorrera	Peridomestic	6/27/2017	CV-SIA	Kaylee; guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome		Guts and Salivary	5/14/2018	5/24/2018		131			Yes	Positive	Negative	Single	Negative	No	Positive	
C8.P2	C8	Plate-2	132	CHOR1P4	R. pallescens	N3		La Chorrera	Pasture	6/27/2017		Kaylee; guts, salivary tissue (little tissue recovered), tools flamed before guts, salivary tissue not for microbiome		Guts and salivary glands	5/9/2018	5/24/2018		132			Yes	Negative	Negative	Negative	Negative	No	Negative	
C9.P2	C9	Plate-2	133	CHOR1P6	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; engorged; bead sterilizer before guts and salivary glands		Guts and some salivary glands	2/19/2018	4/4/2018	1.99	133	85.719		Yes	Negative	Negative	Negative	Negative	No	Negative	
C10.P2	C10	Plate-2	134	CHOR1P6	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and salivary glands	5/7/2018	5/24/2018		134			Yes	Negative	Negative	Negative	Negative	No	Negative	
C11.P2	C11	Plate-2	135	CHOR1P6	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary tussue not for microbiome		Guts and Salivary glands	5/8/2018	5/24/2018		135			Yes	Negative	Negative	Negative	Negative	No	Negative	
C12.P2	C12	Plate-2	136	CAM1P17	R. pallescens	Adult		Campana	Peridomestic	7/2/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/12/2018	4/4/2018	2.089	136	49.5		Yes	Positive	Negative	Single	Negative	No	Positive	duplex_Trangeli - Negative? Redo
D1.P2	D1	Plate-2	137	CAM1P17	R. pallescens	N3		Campana	Peridomestic	7/2/2017		Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/9/2018	5/24/2018		137			Yes	Positive	Negative	Single	Negative	No	Positive	
D2.P2	D2	Plate-2	138	CAM1P17	R. pallescens	N2		Campana	Peridomestic	7/2/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/7/2018	5/24/2018		138			Yes	Positive	Negative	Single	Negative	No	Negative	
D3.P2	D3	Plate-2	139	CAM1P17	R. pallescens	N2		Campana	Peridomestic	7/2/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/7/2018	5/24/2018		139			Yes							
D4.P2	D4	Plate-2	140	CAM1P17	R. pallescens	N2		Campana	Peridomestic	7/2/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/7/2018	5/24/2018		140			Yes	Negative	Negative	Negative	Single	No	Positive	
D5.P2	D5	Plate-2	141	CAM1P17	R. pallescens	N2		Campana	Peridomestic	7/2/2017		Kaylee; flamed tools before guts, sal tissue not for microbiome; little salivary tissue		Guts and Salivary glands	4/5/2018	5/24/2018		141			Yes	Negative	Positive	Negative	Single	No	Negative	
D6.P2	D6	Plate-2	142	CAM2P17	R. pallescens	Adult		Campana	Peridomestic	7/2/2017		Nina; autoclaved before guts, salivary glands dissinfected using sporicidin & wipes		Guts and Salivary	1/16/2018	4/3/2018	1.489	142	9.96		Yes	Positive	Positive	Negative	Negative	Yes	Positive	
D7.P2	D7	Plate-2	143	CAM2P17	R. pallescens	Adult		Campana	Peridomestic	7/2/2017		Nina; disinfected with sporicidin & clorox wipes before guts and before salivary glands; eggs	Female	Guts and Salivary	1/16/2018	4/3/2018	1.92	143	24.755		Yes	Positive	Positive	Negative	Negative	Yes	Positive	
D8.P2	D8	Plate-2	144	CHOR1P3	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	4/30/2018	5/24/2018		144			Yes	Negative	Negative	Negative	Negative	No	Negative	
D9.P2	D9	Plate-2	145	CHOR1P3	R. pallescens	N4		La Chorrera	Pasture	6/25/2017		Nina; engorged; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/19/2018	4/4/2018	1.964	145	39.95		Yes	Positive	Negative	Single	Negative	No	Positive	
D10.P2	D10	Plate-2	146	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; disinfected before guts and before salivary glands using bead sterilizer		Guts and Salivary	1/16/2018	4//3/2018	2.157	146	32.985		Yes	Positive	Negative	Single	Negative	No	Positive	
D11.P2	D11	Plate-2	147	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	1/16/2018	4/3/2018	1.767	147	11.611		Yes	Positive		Single			Positive	
D12.P2	D12	Plate-2	148	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	1/16/2018	4/3/2018	1.493	148	83.963		Yes	Positive	Negative	Single	Negative	No	Negative	
E1.P2	E1	Plate-2	149	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/26/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	1/16/2018	4/3/2018	1.938	149	7.698		Yes	Positive	Negative	Single	Negative	No	Positive	
E2.P2	E2	Plate-2	150	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/26/2017		Kaylee; flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary	4/6/2018	5/1/2018		150			Yes	Negative	Negative	Negative	Negative	No	Negative	
E3.P2	E3	Plate-2	151	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/26/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		151			Yes		Negative		Negative		Negative	
E4.P2	E4	Plate-2	152	CHOR1P3	R. pallescens	N2		La Chorrera	Pasture	6/26/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		152			Yes	Positive	Negative	Single	Negative	No	Negative	
E5.P2	E5	Plate-2	153	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/26/2017		Kaylee; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	5/16/2018	5/24/2018		153			Yes	Positive	Negative	Single	Negative	No	Negative	
E6.P2	E6	Plate-2	154	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/26/2017		Kaylee; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	4/30/2018	5/24/2018		154			Yes	Negative	Negative	Negative	Negative	No	Negative	
E7.P2	E7	Plate-2	155	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/26/2017	(labeled as 159 may 18)	dissected?				5/24/2018		155			Yes	Negative	Negative	Negative	Negative	No	Negative	
E8.P2	E8	Plate-2	157	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/26/2017		Kaylee; guts with exoskelton and sal tissue with exoskeleton; flamed tools before guts, salivary tissue not for microbiome			3/6/2018	5/24/2018		157			Yes	Negative	Negative	Negative	Negative	No	Negative	
E9.P2	E9	Plate-2	158	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/26/2017	(Combine guts?)	dissected twice (5/22/2018)		Guts and Salivary	4/6/2018	5/24/2018		158			Yes	Negative	Negative	Negative	Negative	No	Positive	
E10.P2	E10	Plate-2	159	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; autoclaved before guts, bead sterilizer before salivary glands		Guts and Salivary	1/18/2018	4/3/2018	1.855	159	35.014		Yes	Positive	Negative	Single	Negative	No	Positive	
E11.P2	E11	Plate-2	160	CHOR1P3	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	1/18/2018	4/3/2018	1.758	160	23.015		Yes	Positive	Negative	Single	Negative	No	Positive	
E12.P2	E12	Plate-2	161	CHOR1P3	R. pallescens	N4		La Chorrera	Pasture	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts	2/12/2018	4/4/2018	1.896	161	17.073		Yes	Negative	Negative	Negative	Negative	No	Negative	
F1.P2	F1	Plate-2	162	CHOR1P3	R. pallescens	N4		La Chorrera	Pasture	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/19/2018	4/4/2018	2.004	162	23.007		Yes	Positive	Negative	Single	Negative	No	Positive	
F2.P2	F2	Plate-2	163	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary	4/30/2018	5/24/2018		163			Yes	Negative	Negative	Negative	Negative	No	Positive	
F3.P2	F3	Plate-2	164	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	4/30/2018	5/24/2018		164			Yes	Positive	Negative	Single	Negative	No	Negative	
F4.P2	F4	Plate-2	165	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged, guts, salivary tissue, tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/16/2018	5/24/2018		165			Yes	Positive	Negative	Single	Negative	No	Negative	
F5.P2	F5	Plate-2	166	CHOR1P3	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/22/2018	5/24/2018		166			Yes	Positive	Negative	Single	Negative	No	Negative	
F6.P2	F6	Plate-2	167	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/25/2017		Kaylee; guts with exoskeleton, sal tissue with exoskeleton; autoclaved before guts, salivary tissue not for microbiome		 Guts and Salivary glands	4/6/2018	5/1/2018		167			Yes	Negative	Negative	Negative	Negative	No	Negative	
F7.P2	F7	Plate-2	168	CHOR1P3	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		168			Yes	Negative	Negative	Negative	Negative	No	Negative	
F8.P2	F8	Plate-2	169	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue with exoskeleton (no head or legs), tools flamed before guts and sal tissue		Guts and sailvary glands	5/18/2018	5/24/2018		169			Yes	Negative	Negative	Negative	Negative	No	Negative	
F9.P2	F9	Plate-2	170	CHOR1P3	R. pallescens	N1		La Chorrera	Pasture	6/25/2017		Kaylee; guts with exoskeleton (no legs) and saliavary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and sailvary glands	5/22/2018	5/24/2018		170			Yes	Negative	Negative	Negative	Negative	No	Negative	
F10.P2	F10	Plate-2	171	CHOR1P1	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		171			Yes	Negative	Negative	Negative	Negative	No	Negative	
F11.P2	F11	Plate-2	172	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged, guts, salivary tissue, flamed tools before guts and salivary tissue		Guts and sailvary glands	5/21/2018	5/24/2018		172			Yes	Negative	Negative	Negative	Negative	No	Negative	
F12.P2	F12	Plate-2	173	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and Salivary glands	5/18/2018	5/24/2018		173			Yes	Negative		Negative				
G1.P2	G1	Plate-2	174	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue, tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/16/2018	5/24/2018		174			Yes	Negative	Negative	Negative	Negative	No	Negative	
G2.P2	G2	Plate-2	175	CHOR1P1	R. pallescens	Adult		La Chorrera	Pasture	6/25/2017		Kaylee; autoclaved before guts and bead sterilizer before salivary glands; eggs	Female	Guts and Salivary	1/19/2018	4/4/2018	1.863	175	26.05		Yes	Positive	Positive	Negative	Negative	Yes	Positive	
G3.P2	G3	Plate-2	176	CHOR1P1	R. pallescens	N5		La Chorrera	Pasture	6/25/2017		Nina; engorged; bead sterilizer before guts and salivary glands		Guts and Salivary	1/19/2018	4/4/2018	2.052	176	60.307		Yes	Positive		Single	Negative		Positive	
G4.P2	G4	Plate-2	177	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; engorged, guts, salivary tissue; flamed tools before guts and sal tissue, abdomen partially ripped		Guts and sailvary glands	5/21/2018	5/24/2018		177			Yes	Negative	Negative	Negative	Negative	No	Negative	
G5.P2	G5	Plate-2	178	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/22/2018	5/24/2018		178			Yes	Negative	Negative	Negative	Negative	No	Negative	
G6.P2	G6	Plate-2	179	CHOR1P1	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue, tools flamed before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		179			Yes	Negative	Negative	Negative	Negative	No	Negative	
G7.P2	G7	Plate-2	180	CHOR1P1	R. pallescens	N3		La Chorrera	Pasture	6/26/2017		Kaylee; engorged, guts, salivary tissue, tools flamed before guts, sal tissue not for microbiome		Guts and Salivary glands	5/16/2018	5/24/2018		180			Yes	Negative	Negative	Negative	Negative	No	Negative	
G8.P2	G8	Plate-2	181	CHOR1P2	R. pallescens	N2		La Chorrera	Pasture	6/25/2017		Kaylee; guts, salivary tissue, tools flamed before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		181			Yes	Negative	Negative	Negative	Negative	No	Negative	
G9.P2	G9	Plate-2	182	CHOR1P2	R. pallescens	N1		La Chorrera	Pasture	6/25/2017		Kaylee; guts with exoskeleton (no legs) and saliavary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary glands	4/30/2018	5/24/2018		182			Yes	Negative	Negative	Negative	Negative	No	Negative	
G10.P2	G10	Plate-2	184	CHOR1P5	R. pallescens	Adult	Female	La Chorrera	Pasture	6/25/2017		Nina; one egg found; bead sterilizer before guts and salivary glands	Female	Guts and Salivary	1/19/2018	4/4/2018	2.044	184	79.461		Yes	Negative	Negative	Negative	Negative	No	Negative	
G11.P2	G11	Plate-2	185	CHOR1P5	R. pallescens	N1		La Chorrera	Pasture	6/27/2017		Kaylee; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome		Guts and Salivary Glands	5/16/2018	5/24/2018		185			Yes	Negative	Negative	Negative	Negative	No	Negative	
G12.P2	G12	Plate-2	186	CAM1P17	R. pallescens	N3		Campana	Peridomestic	7/8/2017		Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue		Guts and sailvary glands	5/21/2018	5/24/2018		186			Yes	Positive	Negative	Single	Negative	No	Positive	
H1.P2	H1	Plate-2	187	CAM2P17	R. pallescens	Adult	Female	Campana	Peridomestic	7/8/2017		Nina; many eggs found, collected and placed in EtOH in -20; some blood; bead steilizer before guts and salivary glands	Female	Guts and Salivary	1/19/2018	4/4/2018	1.363	187	68.366		Yes	Positive	Negative	Single	Negative	No	Positive	
H2.P2	H2	Plate-2	188	CAM2P17	R. pallescens	Adult		Campana	Peridomestic	7/8/2017		Nina; engorged; bead sterilizer before guts and before salivary glands		Guts and Salivary	1/19/2018	4/4/2018	0.511	188	78.724		Yes	Negative	Negative	Negative	Negative	No	Negative	
