#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Region	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260_280 score	NUMBER	Gut DNA Concentration ng/µL	Date of Salivary DNA extractions	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	16S Sequencing	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Tcruzi	PCR_RESULTS_duplex_Trangeli	SingleInf_Tcruzi	SingleInf_Trangeli	Coinfection	Infection	PCR_To_Redo	Duplex PCR date	121_122 PCR date
G1.P1	G1	Plate-1	77	"LP#3, Capira0317"	R. pallescens	N3		Las Pavas	Peridomestic	Canal	7/29/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/10/2018	5/23/2018		77			Mammal	Yes	Three	Human	Philander	Mus			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G2.P1	G2	Plate-1	78	"LP#3, Capira0317"	R. pallescens	Adult		Las Pavas	Peridomestic	Canal	9/9/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands		4/2/2018	2.042	78	101.599		Mammal	No	One	Philander					Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection			
G3.P1	G3	Plate-1	79	HN1	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/27/2017		"Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome"		Guts and Salivary glands	5/10/2018	5/23/2018		79			Mammal	Yes	Three	Philander	Human	Mus			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G4.P1	G4	Plate-1	80	HN1	T. dimidiata	N4		La Chorrera	Peridomestic	Canal	6/27/2017		"Nina; autoclaved before guts, salivary not for microbiome"		Guts and Salivary glands	3/20/2018	5/1/2018		80			Mammal	Yes	Three	Human	Mus	Philander			Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
G5.P1	G5	Plate-1	81	HN7	R. pallescens	Adult		La Chorrera	Peridomestic	Canal	6/26/2017		Nina; eggs; bead sterilizer before guts and salivary glands	Female	Guts and Salivary glands	2/12/2018	4/2/2018	2.007	81	132.722		Mammal	Yes	Three	Mus	Philander	Human			Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection			
G6.P1	G6	Plate-1	82	HN10	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/17/2017		"Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome"		Guts and Salivary Glands	5/14/2018	5/23/2018		82			Mammal	No	Two	Mus	Philander				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G7.P1	G7	Plate-1	83	HN11	R. pallescens	Adult	Female	La Chorrera	Peridomestic	Canal	7/20/2017		"Nina; autoclaved before guts, bead sterilizer before salivary glands; Eggs recoverd, placed in EtOH in -20"	Female	Guts and Salivary Glands	2/8/2018	3/31/2018	1.789	83	266.619		Mammal	No	One	Mus					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
G8.P1	G8	Plate-1	84	HN11	R. pallescens	N2		La Chorrera	Peridomestic	Canal	7/20/2017		"Kaylee; guts, salivary tissue; tools flamed before guts, sal tissue not for microbiome"		Guts and Salivary glands	5/14/2018	5/23/2018		84			Bird_Mammal	No	Four	Piranga	Other	Mus	Philander		Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G9.P1	G9	Plate-1	85	HN2	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome"		Guts and Salivary glands	5/14/2018	5/23/2018		85			Mammal	Yes	Two	Human	Mus				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G10.P1	G10	Plate-1	86	HN2	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome"		Guts and Salivary glands	5/14/2018	5/23/2018		86			Other	No	One	Other					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G11.P1	G11	Plate-1	87	HN2	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/26/2017		"Kaylee; guts, salivary tissue; tools flamed before guts, sal tissue not for microbiome"		Guts and Salivary	5/9/2018	5/23/2018		87			Mammal	No	Two	Mus	Philander				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
G12.P1	G12	Plate-1	88	HN5	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts with exoskeleton, salivary tissue with exoskeleoton, no head or legs; tools flamed before gust, salivary tissue not for microbiome"		Guts and Salivary glands	5/7/2018	5/23/2018		88			Mammal	No	One	Mus					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H1.P1	H1	Plate-1	89	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/23/2018		89			Bird_Mammal	Yes	Two	Piranga	Human				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H2.P1	H2	Plate-1	90	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome"		Guts and Salivary glands	5/8/2018	5/23/2018		90			Bird	No	One	Piranga					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H3.P1	H3	Plate-1	91	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/25/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.933	91	4.233		Mammal_Bird	No	Two	Leopardus	Piranga				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H4.P1	H4	Plate-1	92	HN5	R. pallescens	N4		La Chorrera	Peridomestic	Canal	6/25/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.807	92	15.204		Bird	No	One	Piranga					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H5.P1	H5	Plate-1	93	HN5	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.578	93	6.51		Mammal_Bird	Yes	Three	Human	Mus	Piranga			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H6.P1	H6	Plate-1	94	HN5	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.598	94	6.819		Mammal	Yes	One	Human					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H7.P1	H7	Plate-1	95	HN5	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/26/2017				Gut and salivary glands	11/21/2017	3/31/2018	1.511	95	3.518		Mammal_Bird	Yes	Three	Mus	Human	Piranga			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H8.P1	H8	Plate-1	96	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/26/2017				Guts only	11/21/2017	3/31/2018	0.789	96	2.206		Bird	No	Two	Piranga	Other				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H9.P1	H9	Plate-1	98	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017		"Kaylee; engorged, guts, salivary tissue with exoskeleton (no head or legs); tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/23/2018		98			Other	No	One	Other					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H10.P1	H10	Plate-1	99	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017		"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/23/2018		99			Other	No	One	Other					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H11.P1	H11	Plate-1	100	HN5	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017		"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/23/2018		100			Mammal_Bird	Yes	Three	Human	Mus	Piranga			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
H12.P1	H12	Plate-1	101	HN5	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/27/2017		"Kaylee; guts, salivary tissue, flamed tools before guts, salivary glands not for microbiome"		Guts and Salivary glands	5/9/2018	5/23/2018		101			Bird	No	One	Piranga					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
A2.P2	A2	Plate-2	102	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	Canal	6/25/2017		"Nina; bead sterilizer before guts and salivary glands; white intestines (during extraction, sample <200µL, added 50µL of buffer)"		Guts and Salivary	2/8/2018	3/31/2018	1.753	102	35.495		Mammal	Yes	Three	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus			Yes	Positive	Negative	Negative	Single	Negative	No	Tcruzi			
A3.P2	A3	Plate-2	103	HN3	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/8/2018	5/24/2018		103			Mammal	Yes	Four	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Carnivora;Procyonidae;Procyon;lotor	Mammalia;Cetartiodactyla;Bovidae;Bos;taurus	Mammalia;Rodentia;Muridae;Mus;musculus		Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
A4.P2	A4	Plate-2	104	HN3	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts, salivary tissues with exoskeleton (no head or legs); tools flamed before guts, sal tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/24/2018		104			Mammal	Yes	Two	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus				Yes		Negative	Negative	Negative	Negative	No	Negative			
A5.P2	A5	Plate-2	105	HN3	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts, salivary tissue (little tissue in guts and salivary glands), tools flamed before guts, salivary not for microbiome"		Guts and Salivary glands	5/10/2018	5/24/2018		105			Mammal	Yes	Two	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus				Yes	Positive	Negative	Negative	Single	Negative	No	Tcruzi			
A6.P2	A6	Plate-2	106	HN3	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/8/2018	5/24/2018		106			Mammal	Yes	Three	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus			Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
A7.P2	A7	Plate-2	107	HN3	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017		"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/10/2018	5/24/2018		107			Mammal	Yes	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
A8.P2	A8	Plate-2	108	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	Canal	6/25/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary	2/8/2018	4/2/2018	1.924	108	110.291		Mammal	Yes	Three	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum			Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
A9.P2	A9	Plate-2	109	HN3	R. pallescens	Adult		La Chorrera	Peridomestic	Canal	6/25/2017		Nina; bead sterilizer before guts and salivary glands; eggs	female	Guts and Salivary	2/8/2018	4/2/2018	2.057	109	62.698		Mammal	Yes	Two	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus				Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
A10.P2	A10	Plate-2	110	HN9	R. pallescens	Adult		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/20/2018	4/2/2018	1.988	110	23.401	6/12/2018	Mammal	Yes	One	Mammalia;Primate;Hominidae;Homo;sapiens					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
A11.P2	A11	Plate-2	111	HN9	R. pallescens	N5		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/21/2018	4/2/2018	2.1	111	109.678	6/12/2018	Mammal	Yes	Three	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Rodentia;Muridae;Mus;musculus			Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
A12.P2	A12	Plate-2	112	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/8/2018	5/24/2018		112			Mammal	No	One	Mammalia;Rodentia;Muridae;Mus;musculus					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi		31 August 2019	
B1.P2	B1	Plate-2	113	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/14/2018	5/24/2018		113			Bird_Mammal	No	Two	Aves;Passeriformes;Turdidae;Turdus;grayi	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
B2.P2	B2	Plate-2	114	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	"Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary gland not for microbiome"		Guts and Salivary glands	5/8/2018	5/24/2018		114			Mammal	Yes	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens				Yes	Negative	Positive	Negative	Single	Negative	No	Negative			
B3.P2	B3	Plate-2	115	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	"Kaylee; guts, salivary tissue, flamed tools before guts, salivary glands not for microbiome"		Guts and Salivary glands	5/9/2018	5/24/2018		115			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
B4.P2	B4	Plate-2	116	HN9	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/24/2018		116			Mammal	Yes	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens				Yes	Positive	Negative	Negative	Single	Negative	No	Negative			15 January 2020
B5.P2	B5	Plate-2	117	HN9	R. pallescens	N5		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands; engorged; some blood and exoskeleton with salivary glands		Guts and Salivary glands	2/23/2018	4/3/2018	1.84	117	11.575		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
B6.P2	B6	Plate-2	118	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Kaylee; engorged; bead sterilizer before guts and salivary glands		Guts and salivary glands	3/1/2018	4/2/2018	1.531	118	10.948		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection		29 August 2019	
B7.P2	B7	Plate-2	119	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Kaylee; autoclaved tools before guts; salivary not for microbiome		Guts and Salivary glands	3/22/2018	5/1/2018		119			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Turdidae;Turdus;grayi				Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
B8.P2	B8	Plate-2	120	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/25/2017	CV-SIA	Kaylee; flamed tools before guts; salivary not for microbiome		Guts and Salivary glands	3/22/2018	5/1/2018		120			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection		29 August 2019	
B9.P2	B9	Plate-2	121	HN9	R. pallescens	N5		La Chorrera	Peridomestic	Canal	6/26/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/23/2018	4/3/2018	1.866	121	17.172		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
B10.P2	B10	Plate-2	122	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/26/2017	CV-SIA	"Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/7/2018	5/23/2018		122			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Turdidae;Turdus;grayi				Yes	Positive	Negative	Negative	Single	Negative	No	Tcruzi	"(duplex PCR redone on 29 August 2019, all negative)"	29 August 2019	
B11.P2	B11	Plate-2	123	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/26/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/9/2018	5/23/2018		123			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Negative	Positive	Coinfection	Coinfection	Yes	Coinfection			
B12.P2	B12	Plate-2	124	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/26/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/9/2018	5/23/2018		124			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Negative	Positive	Coinfection	Coinfection	Yes	Coinfection		31 Augsut 2019	
C1.P2	C1	Plate-2	125	HN9	R. pallescens	N1		La Chorrera	Peridomestic	Canal	6/26/2017	CV-SIA	"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/7/2018	5/23/2018		125			Mammal_Bird	Yes	Four	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca	Other	Mammalia;Primate;Hominidae;Homo;sapiens		Yes	Negative	Positive	Positive	Coinfection	Coinfection	Yes	Trangeli			
C2.P2	C2	Plate-2	126	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; engorged, guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/9/2018	5/23/2018		126			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca				Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection			
C3.P2	C3	Plate-2	127	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; guts with exoskelton and sal tissue with exoskeleton (no head or legs); flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/7/2018	5/23/2018		127			Mammal_Bird	No	Three	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca	Mammalia;Rodentia;Muridae;Mus;musculus			Yes	Negative	Negative	Positive	Negative	Single	No	Trangeli			
C4.P2	C4	Plate-2	128	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/9/2018	5/23/2018		128			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Positive	Coinfection	Coinfection	Yes	Coinfection			
C5.P2	C5	Plate-2	129	HN9	R. pallescens	N2		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/7/2018	5/24/2018		129			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca				Yes	Positive	Negative	Negative	Single	Negative	No	Tcruzi			
C6.P2	C6	Plate-2	130	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary	5/9/2018	5/24/2018		130			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca				Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
C7.P2	C7	Plate-2	131	HN9	R. pallescens	N3		La Chorrera	Peridomestic	Canal	6/27/2017	CV-SIA	"Kaylee; guts, salivary tissue, tools flamed before guts, salivary tissue not for microbiome"		Guts and Salivary	5/14/2018	5/24/2018		131			Mammal_Bird	Yes	Four	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Cetartiodactyla;Bovidae;Bos;taurus	Aves;Passeriformes;Thraupidae;Thraupis;sayaca		Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
C8.P2	C8	Plate-2	132	CHOR1P4	R. pallescens	N3		La Chorrera	Pasture	Canal	6/27/2017		"Kaylee; guts, salivary tissue (little tissue recovered), tools flamed before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/9/2018	5/24/2018		132			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca				Yes	Negative	Negative	Negative	Negative	Negative	No	Tcruzi			
C9.P2	C9	Plate-2	133	CHOR1P6	R. pallescens	N5		La Chorrera	Pasture	Canal	6/25/2017		Nina; engorged; bead sterilizer before guts and salivary glands		Guts and some salivary glands	2/19/2018	4/4/2018	1.99	133	85.719		Bird	No	One	Aves;Passeriformes;Thraupidae;Thraupis;sayaca					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
C10.P2	C10	Plate-2	134	CHOR1P6	R. pallescens	N3		La Chorrera	Pasture	Canal	6/25/2017		"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and salivary glands	5/7/2018	5/24/2018		134			Bird	No	One	Aves;Passeriformes;Thraupidae;Thraupis;sayaca					Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
C11.P2	C11	Plate-2	135	CHOR1P6	R. pallescens	N2		La Chorrera	Pasture	Canal	6/25/2017		"Kaylee; guts, salivary tissue with exoskeleton (no head, no legs), tools flamed before guts, salivary tussue not for microbiome"		Guts and Salivary glands	5/8/2018	5/24/2018		135			Mammal_Bird	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Aves;Passeriformes;Thraupidae;Thraupis;sayaca				Yes	Negative	Negative	Negative	Negative	Negative	No	Negative			
C12.P2	C12	Plate-2	136	CAM1P17	R. pallescens	Adult		Campana	Peridomestic	Canal	7/2/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary glands	2/12/2018	4/4/2018	2.089	136	49.5		Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Negative	Positive	Coinfection	Coinfection	Yes	Coinfection		31 August 2019	
D1.P2	D1	Plate-2	137	CAM1P17	R. pallescens	N3		Campana	Peridomestic	Canal	7/2/2017		"Kaylee; engorged; guts, salivary tissue; flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/9/2018	5/24/2018		137			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Positive	Positive	Negative	Single	Negative	No	Tcruzi			
D2.P2	D2	Plate-2	138	CAM1P17	R. pallescens	N2		Campana	Peridomestic	Canal	7/2/2017		"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/7/2018	5/24/2018		138			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Rodentia;Heteromyidae;Heteromys;australis				Yes	Positive	Negative	Negative	Single	Negative	No	Tcruzi			
D3.P2	D3	Plate-2	139	CAM1P17	R. pallescens	N2		Campana	Peridomestic	Canal	7/2/2017		"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/7/2018	5/24/2018		139			Mammal	Yes	Four	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Cetartiodactyla;Bovidae;Bos;taurus	Mammalia;Carnivora;Felidae;Leopardus;wiedii	Mammalia;Primate;Hominidae;Homo;sapiens		Yes	Positive	Negative	Positive	Coinfection	Coinfection	Yes	Coinfection		29 August 2019	15 January 2020
D4.P2	D4	Plate-2	140	CAM1P17	R. pallescens	N2		Campana	Peridomestic	Canal	7/2/2017		"Kaylee; engorged; guts, salivary tissue with exoskeleton (no legs or head); flamed tools before guts, salivary tissue not for microbiome"		Guts and Salivary glands	5/7/2018	5/24/2018		140			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Negative	Positive	Negative	Single	Negative	No	Negative			
D5.P2	D5	Plate-2	141	CAM1P17	R. pallescens	N2		Campana	Peridomestic	Canal	7/2/2017		"Kaylee; flamed tools before guts, sal tissue not for microbiome; little salivary tissue"		Guts and Salivary glands	4/5/2018	5/24/2018		141			Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Rodentia;Muridae;Mus;musculus				Yes	Negative	Negative	Positive	Negative	Single	No	Trangeli			
